uvrstitev,id,naslov,avtor,povp_ocena,st_ocen,ocena,st_glasov,zbirka,zap_st_knjige_v_zbirki
882,17803,After Dark,Haruki Murakami,3.72,126063,548,8,,
882,4251902,American Rust,Philipp Meyer,3.72,10047,548,6,,
885,15724396,The Sword of Summer,Rick Riordan,4.21,178597,546,8,Magnus Chase and the Gods of Asgard,1
886,6834410,The Imperfectionists,Tom Rachman,3.55,51483,545,7,,
887,77866,Any Human Heart,William  Boyd,4.28,17789,544,7,,
888,3710,The Autograph Man,Zadie Smith,3.16,11863,543,8,,
889,17380041,Longbourn,Jo Baker,3.64,53292,542,6,,
890,1225621,The Outlaw Demon Wails,Kim Harrison,4.35,56940,541,8,The Hollows,6
890,5292853,Hunting Ground,Patricia Briggs,4.25,65890,541,8,Alpha &amp; Omega,2
890,1268479,Warbreaker,Brandon Sanderson,4.27,141836,541,7,Warbreaker,1
893,6050298,Dreamfever,Karen Marie Moning,4.37,97533,538,7,Fever,4
893,7600924,Forbidden,Tabitha Suzuma,4.00,63451,538,7,,
895,178460,Slave: My True Story,Mende Nazer,4.16,10177,536,7,,
896,7747064,The Iron Daughter,Julie Kagawa,4.05,129623,535,7,The Iron Fey,2
897,368731,&quot;A Problem from Hell&quot;: America and the Age of Genocide,Samantha Power,4.24,9563,534,6,,
898,294047,Amazonia,James Rollins,4.13,32726,531,6,,
899,240404,Alice's Tulips,Sandra Dallas,3.82,3843,529,6,,
899,3507,Twelve Sharp,Janet Evanovich,4.14,93612,529,7,Stephanie Plum,12
899,10757346,Ain't No Grave: The Life and Legacy of Brother Claude Ely,Macel Ely II,3.51,2159,529,6,,
902,32263,The Surgeon,Tess Gerritsen,4.06,153125,528,7,Rizzoli &amp; Isles,1
903,43691,The Master,Colm Tóibín,3.83,9315,527,7,,
904,48002,Thief of Time,Terry Pratchett,4.21,69470,526,7,"Discworld, #26; Death",5
905,7619057,Warm Bodies,Isaac Marion,3.92,101209,525,7,Warm Bodies,1
906,24431,Trickster's Choice,Tamora Pierce,4.19,70616,524,8,Daughter of the Lioness,1
907,338691,Still Life,Louise Penny,3.89,186139,522,8,Chief Inspector Armand Gamache,1
908,383028,The Hard Way,Lee Child,4.16,72761,519,7,Jack Reacher,10
909,13623012,The Prisoner of Heaven,Carlos Ruiz Zafón,4.08,77846,514,6,The Cemetery of Forgotten Books,3
910,343995,The Blue Nowhere,Jeffery Deaver,3.96,10872,512,6,,
910,3238153,North of Beautiful,Justina Chen,3.92,35281,512,7,,
910,68488,Fool's Errand,Robin Hobb,4.29,84250,512,6,Tawny Man,1
913,4830,Shalimar the Clown,Salman Rushdie,3.89,13296,511,7,,
914,4979,A Man Without a Country,Kurt Vonnegut Jr.,4.05,42658,510,6,,
915,531350,The Choice,Nicholas Sparks,4.00,159539,509,7,,
916,16046,Before You Know Kindness,Chris Bohjalian,3.48,11078,508,6,,
916,2845287,The Wordy Shipmates,Sarah Vowell,3.66,25163,508,6,,
916,6063187,Twenties Girl,Sophie Kinsella,3.84,157527,508,7,,
919,11559200,Shadow of Night,Deborah Harkness,4.04,215230,506,8,All Souls Trilogy,2
919,8659601,The Power of Six,Pittacus Lore,4.14,133308,506,7,Lorien Legacies,2
